,Bin Lat,Bin Long,Total Count,previous_normalized_bins,normalized_bins
0,-57.3631024964463,-176.592105263158,1204.0,0.001094535504222689,0.001094535504222689
1,-47.4631016370138,-176.592105263158,1509.0,0.001371805710857174,0.001371805710857174
2,-39.1667107161202,-176.592105263158,1003.0,0.0009118098926373397,0.0009118098926373397
3,-31.7568638592971,-176.592105263158,904.0,0.0008218107108117199,0.0008218107108117199
4,-24.901062370367,-176.592105263158,960.0,0.0008727193389151007,0.0008727193389151007
5,-18.4084801705858,-176.592105263158,854.0,0.0007763565785765584,0.0007763565785765584
6,-12.1531974690079,-176.592105263158,703.0,0.0006390850992263707,0.0006390850992263707
7,-6.0423284190541,-176.592105263158,806.0,0.0007327206116308034,0.0007327206116308034
8,0.0,-176.592105263158,958.0,0.0008709011736256943,0.0008709011736256943
9,6.04232841905411,-176.592105263158,956.0,0.0008690830083362878,0.0008690830083362878
10,12.1531974690079,-176.592105263158,926.0,0.000841810528995191,0.000841810528995191
11,18.4084801705859,-176.592105263158,956.0,0.0008690830083362878,0.0008690830083362878
12,24.901062370367,-176.592105263158,933.0,0.0008481741075081136,0.0008481741075081136
13,31.7568638592971,-176.592105263158,988.0,0.0008981736529667913,0.0008981736529667913
14,39.1667107161202,-176.592105263158,1082.0,0.0009836274215688947,0.0009836274215688947
15,47.4631016370138,-176.592105263158,1689.0,0.0015354405869037555,0.0015354405869037555
16,57.3631024964463,-176.592105263158,1123.0,0.0010208998100017272,0.0010208998100017272
17,71.3282819359921,-176.592105263158,970.0,0.0008818101653621331,0.0008818101653621331
18,-71.3282819359921,-170.276315789474,952.0,0.0008654466777574749,0.0008654466777574749
19,-57.3631024964463,-170.276315789474,1162.0,0.0010563540331451533,0.0010563540331451533
20,-47.4631016370138,-170.276315789474,1569.0,0.0014263506695393678,0.0014263506695393678
21,-39.1667107161202,-170.276315789474,985.0,0.0008954464050326815,0.0008954464050326815
22,-31.7568638592971,-170.276315789474,1013.0,0.000920900719084372,0.000920900719084372
23,-24.901062370367,-170.276315789474,944.0,0.0008581740165998491,0.0008581740165998491
24,-18.4084801705858,-170.276315789474,886.0,0.0008054472232070617,0.0008054472232070617
25,-12.1531974690079,-170.276315789474,831.0,0.0007554476777483841,0.0007554476777483841
26,-6.0423284190541,-170.276315789474,955.0,0.0008681739256915847,0.0008681739256915847
27,0.0,-170.276315789474,904.0,0.0008218107108117199,0.0008218107108117199
28,6.04232841905411,-170.276315789474,796.0,0.000723629785183771,0.000723629785183771
29,12.1531974690079,-170.276315789474,770.0,0.0006999936364214871,0.0006999936364214871
30,18.4084801705859,-170.276315789474,982.0,0.0008927191570985718,0.0008927191570985718
31,24.901062370367,-170.276315789474,1123.0,0.0010208998100017272,0.0010208998100017272
32,31.7568638592971,-170.276315789474,912.0,0.0008290833719693457,0.0008290833719693457
33,39.1667107161202,-170.276315789474,1198.0,0.0010890810083544695,0.0010890810083544695
34,47.4631016370138,-170.276315789474,1626.0,0.001478168380287452,0.001478168380287452
35,57.3631024964463,-170.276315789474,1171.0,0.0010645357769474824,0.0010645357769474824
36,71.3282819359921,-170.276315789474,935.0,0.00084999227279752,0.00084999227279752
37,-71.3282819359921,-163.960526315789,919.0,0.0008354469504822683,0.0008354469504822683
38,-57.3631024964463,-163.960526315789,1107.0,0.0010063544876864755,0.0010063544876864755
39,-47.4631016370138,-163.960526315789,1548.0,0.0014072599340006,0.0014072599340006
40,-39.1667107161202,-163.960526315789,1087.0,0.000988172834792411,0.000988172834792411
41,-31.7568638592971,-163.960526315789,912.0,0.0008290833719693457,0.0008290833719693457
42,-24.901062370367,-163.960526315789,974.0,0.000885446495940946,0.000885446495940946
43,-18.4084801705858,-163.960526315789,863.0,0.0007845383223788875,0.0007845383223788875
44,-12.1531974690079,-163.960526315789,837.0,0.0007609021736166034,0.0007609021736166034
45,-6.0423284190541,-163.960526315789,864.0,0.0007854474050235907,0.0007854474050235907
46,0.0,-163.960526315789,920.0,0.0008363560331269716,0.0008363560331269716
47,6.04232841905411,-163.960526315789,936.0,0.0008509013554422232,0.0008509013554422232
48,12.1531974690079,-163.960526315789,890.0,0.0008090835537858746,0.0008090835537858746
49,18.4084801705859,-163.960526315789,824.0,0.0007490840992354615,0.0007490840992354615
50,24.901062370367,-163.960526315789,1010.0,0.0009181734711502622,0.0009181734711502622
51,31.7568638592971,-163.960526315789,1041.0,0.0009463550331360624,0.0009463550331360624
52,39.1667107161202,-163.960526315789,1119.0,0.0010172634794229144,0.0010172634794229144
53,47.4631016370138,-163.960526315789,1716.0,0.0015599858183107426,0.0015599858183107426
54,57.3631024964463,-163.960526315789,1204.0,0.001094535504222689,0.001094535504222689
55,71.3282819359921,-163.960526315789,947.0,0.0008609012645339588,0.0008609012645339588
56,-71.3282819359921,-157.644736842105,909.0,0.0008263561240352361,0.0008263561240352361
57,-57.3631024964463,-157.644736842105,1174.0,0.001067263024881592,0.001067263024881592
58,-47.4631016370138,-157.644736842105,1373.0,0.0012481704711775348,0.0012481704711775348
59,-39.1667107161202,-157.644736842105,1091.0,0.0009918091653712238,0.0009918091653712238
60,-31.7568638592971,-157.644736842105,910.0,0.0008272652066799393,0.0008272652066799393
61,-24.901062370367,-157.644736842105,969.0,0.0008809010827174298,0.0008809010827174298
62,-18.4084801705858,-157.644736842105,849.0,0.0007718111653530422,0.0007718111653530422
63,-12.1531974690079,-157.644736842105,794.0,0.0007218116198943646,0.0007218116198943646
64,-6.0423284190541,-157.644736842105,833.0,0.0007572658430377905,0.0007572658430377905
